StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,att1,att2,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_intent_pedestri,AC_4_intent_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_intent_driver,AC_4_intent_driver,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_random_pedestri,AC_4_random_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_random_driver,AC_4_random_driver,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,FL_4_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO
7/6/21 23:53,7/6/21 23:55,0,206.251.213.64,100,118,1,7/6/21 23:55,R_1dulb80zyuxkyFK,,,,,35.63600159,-86.68409729,anonymous,EN,2,2,,,,,,,,,,,,,,,100,100,100,8,50,49,20,0,100,54,50,23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,25,2,,Thanks.,FL_9,,,,intentional_driver|blame_noah|blame_robocar|blame_robodrive,intentional_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive,intentional_driver|protest_robodrive|likeminded_robodrive|donate_robodrive|nonlike_robodrive|soc_media_robodrive|volunteer_robodrive,,,,,,
7/6/21 23:53,7/6/21 23:55,0,12.204.38.77,100,93,1,7/6/21 23:55,R_z9mSjtTIYv26psR,,,,,32.73620605,-96.19249725,anonymous,EN,2,2,0,50,100,100,100,85,70,80,50,90,80,40,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,28,2,,No,FL_8,intentional_pedestri|blame_robodrive|blame_robocar|blame_noah,intentional_pedestri|punish_robodrive|anger_robodrive|moral_bad_robodrive,intentional_pedestri|volunteer_robodrive|likeminded_robodrive|donate_robodrive|nonlike_robodrive|soc_media_robodrive|protest_robodrive,,,,,,,,,
7/6/21 23:53,7/6/21 23:55,0,97.127.51.172,100,99,1,7/6/21 23:55,R_1mO9yUF156YiKOL,,,,,44.93539429,-93.16940308,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,74,100,9,15,17,3,10,2,18,47,25,2,1,1,,1,,39,3,,,FL_11,,,,,,,,,,random_driver|blame_noah|blame_robocar|blame_robodrive,random_driver|punish_robodrive|anger_robodrive|moral_bad_robodrive,random_driver|volunteer_robodrive|likeminded_robodrive|donate_robodrive|nonlike_robodrive|protest_robodrive|soc_media_robodrive
7/6/21 23:54,7/6/21 23:55,0,64.121.102.112,100,73,1,7/6/21 23:55,R_1Gxexg3MHuMGm0z,,,,,40.58850098,-75.46420288,anonymous,EN,2,2,84,96,78,52,81,69,26,21,22,25,40,41,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,29,5,,,FL_8,intentional_pedestri|blame_noah|blame_robocar|blame_robodrive,intentional_pedestri|anger_robodrive|moral_bad_robodrive|punish_robodrive,intentional_pedestri|donate_robodrive|nonlike_robodrive|soc_media_robodrive|likeminded_robodrive|volunteer_robodrive|protest_robodrive,,,,,,,,,
7/6/21 23:54,7/6/21 23:56,0,71.199.248.207,100,104,1,7/6/21 23:56,R_25GCTe2vs26OI4g,,,,,30.36680603,-81.58730316,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,89,0,0,0,19,20,0,18,20,20,2,2,,,,,,,,,,,,,,,2,,1,,57,6,,,FL_10,,,,,,,random_pedestri|blame_robocar|blame_noah|blame_robodrive,random_pedestri|moral_bad_robodrive|punish_robodrive|anger_robodrive,random_pedestri|volunteer_robodrive|nonlike_robodrive|donate_robodrive|likeminded_robodrive|soc_media_robodrive|protest_robodrive,,,
7/6/21 23:55,7/6/21 23:57,0,206.255.173.111,100,104,1,7/6/21 23:57,R_2PdvVwGMOfFLp3H,,,,,35.24360657,-91.73130035,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,92,100,72,88,50,81,8,8,79,92,55,2,1,2,,1,,47,5,,,FL_11,,,,,,,,,,random_driver|blame_robocar|blame_robodrive|blame_noah,random_driver|anger_robodrive|punish_robodrive|moral_bad_robodrive,random_driver|donate_robodrive|nonlike_robodrive|likeminded_robodrive|protest_robodrive|volunteer_robodrive|soc_media_robodrive
7/6/21 23:54,7/6/21 23:57,0,174.194.154.28,100,214,1,7/6/21 23:57,R_3kuggAQuuWjB8do,,,,,37.37730408,-122.0194016,anonymous,EN,2,2,,,,,,,,,,,,,,,21,84,86,71,31,12,24,64,27,72,67,65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,37,5,,No,FL_9,,,,intentional_driver|blame_noah|blame_robocar|blame_robodrive,intentional_driver|punish_robodrive|moral_bad_robodrive|anger_robodrive,intentional_driver|volunteer_robodrive|likeminded_robodrive|protest_robodrive|soc_media_robodrive|donate_robodrive|nonlike_robodrive,,,,,,
7/6/21 23:56,7/6/21 23:58,0,68.63.20.185,100,124,1,7/6/21 23:58,R_DV1sNitjPbpTiil,,,,,30.49079895,-84.31580353,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,9,60,63,51,67,14,3,0,3,19,8,2,2,,,,,,,,,,,,,,,1,,1,,39,5,,,FL_10,,,,,,,random_pedestri|blame_robodrive|blame_noah|blame_robocar,random_pedestri|anger_robodrive|moral_bad_robodrive|punish_robodrive,random_pedestri|volunteer_robodrive|nonlike_robodrive|donate_robodrive|soc_media_robodrive|protest_robodrive|likeminded_robodrive,,,
7/6/21 23:56,7/6/21 23:58,0,72.197.143.19,100,129,1,7/6/21 23:58,R_SB2gXcJb11jpG37,,,,,32.72579956,-116.9933014,anonymous,EN,2,2,0,100,100,55,72,53,0,0,0,0,100,57,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,37,2,,No,FL_8,intentional_pedestri|blame_noah|blame_robocar|blame_robodrive,intentional_pedestri|punish_robodrive|anger_robodrive|moral_bad_robodrive,intentional_pedestri|likeminded_robodrive|protest_robodrive|volunteer_robodrive|nonlike_robodrive|donate_robodrive|soc_media_robodrive,,,,,,,,,
7/6/21 23:58,7/7/21 0:01,0,67.184.191.20,100,154,1,7/7/21 0:01,R_3lAKDlklTl4vLXQ,,,,,42.38160706,-88.00260162,anonymous,EN,2,2,,,,,,,,,,,,,,,100,50,9,7,49,10,100,3,1,3,4,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,53,5,,,FL_9,,,,intentional_driver|blame_noah|blame_robodrive|blame_robocar,intentional_driver|punish_robodrive|anger_robodrive|moral_bad_robodrive,intentional_driver|donate_robodrive|nonlike_robodrive|volunteer_robodrive|protest_robodrive|soc_media_robodrive|likeminded_robodrive,,,,,,
7/6/21 23:59,7/7/21 0:01,0,174.196.9.17,100,87,1,7/7/21 0:01,R_1QoVGsfvi0LI2jq,,,,,36.21339417,-86.73110199,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,94,69,64,80,3,0,1,50,66,64,2,2,,,,,,,,,,,,,,,2,,1,,41,5,,,FL_10,,,,,,,random_pedestri|blame_robocar|blame_noah|blame_robodrive,random_pedestri|anger_robodrive|moral_bad_robodrive|punish_robodrive,random_pedestri|protest_robodrive|volunteer_robodrive|donate_robodrive|soc_media_robodrive|nonlike_robodrive|likeminded_robodrive,,,
7/6/21 23:59,7/7/21 0:02,0,166.205.190.99,100,183,1,7/7/21 0:02,R_10JaOloLXl42Ptl,,,,,32.69569397,-97.09069824,anonymous,EN,2,2,61,0,41,50,53,72,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,21,4,,,FL_8,intentional_pedestri|blame_robocar|blame_noah|blame_robodrive,intentional_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,intentional_pedestri|protest_robodrive|nonlike_robodrive|donate_robodrive|soc_media_robodrive|likeminded_robodrive|volunteer_robodrive,,,,,,,,,
7/7/21 0:03,7/7/21 0:04,0,73.135.17.30,100,87,1,7/7/21 0:04,R_UFUi5QaQJNkdCbT,,,,,39.33610535,-76.53890228,anonymous,EN,2,2,,,,,,,,,,,,,,,0,50,100,73,74,50,0,0,30,68,50,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,26,2,,,FL_9,,,,intentional_driver|blame_robodrive|blame_robocar|blame_noah,intentional_driver|moral_bad_robodrive|anger_robodrive|punish_robodrive,intentional_driver|likeminded_robodrive|protest_robodrive|donate_robodrive|volunteer_robodrive|nonlike_robodrive|soc_media_robodrive,,,,,,
7/7/21 0:03,7/7/21 0:05,0,172.90.150.98,100,99,1,7/7/21 0:05,R_1jCCGLt7vsGrfEy,,,,,33.73379517,-116.9299011,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,100,100,70,70,65,1,0,0,5,81,39,2,1,1,,1,,33,2,,no,FL_11,,,,,,,,,,random_driver|blame_robodrive|blame_robocar|blame_noah,random_driver|moral_bad_robodrive|punish_robodrive|anger_robodrive,random_driver|donate_robodrive|soc_media_robodrive|protest_robodrive|likeminded_robodrive|nonlike_robodrive|volunteer_robodrive
7/7/21 0:05,7/7/21 0:09,0,47.224.50.72,100,262,1,7/7/21 0:09,R_1Lj4HcGwG8SrYEf,,,,,45.60800171,-84.48670197,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,0,0,0,60,80,70,2,1,1,,1,,44,5,,,FL_11,,,,,,,,,,random_driver|blame_robocar|blame_noah|blame_robodrive,random_driver|moral_bad_robodrive|anger_robodrive|punish_robodrive,random_driver|donate_robodrive|volunteer_robodrive|protest_robodrive|likeminded_robodrive|nonlike_robodrive|soc_media_robodrive
7/7/21 0:07,7/7/21 0:10,0,172.220.244.5,100,145,1,7/7/21 0:10,R_278L5LmqTaG1B6Y,,,,,35.46659851,-79.17579651,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,72,73,2,2,,,,,,,,,,,,,,,2,,1,,27,5,,I think it should be programmed to kill the pedestrian and save the driver. ,FL_10,,,,,,,random_pedestri|blame_noah|blame_robodrive|blame_robocar,random_pedestri|anger_robodrive|moral_bad_robodrive|punish_robodrive,random_pedestri|protest_robodrive|volunteer_robodrive|soc_media_robodrive|donate_robodrive|nonlike_robodrive|likeminded_robodrive,,,
7/7/21 0:08,7/7/21 0:10,0,69.117.190.55,100,136,1,7/7/21 0:10,R_XwikdRQMRA8rC1P,,,,,40.87309265,-74.74259949,anonymous,EN,2,2,,,,,,,,,,,,,,,36,67,81,72,65,35,0,0,0,14,51,57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,33,5,,,FL_9,,,,intentional_driver|blame_robodrive|blame_noah|blame_robocar,intentional_driver|moral_bad_robodrive|anger_robodrive|punish_robodrive,intentional_driver|likeminded_robodrive|nonlike_robodrive|protest_robodrive|soc_media_robodrive|donate_robodrive|volunteer_robodrive,,,,,,
7/7/21 0:15,7/7/21 0:18,0,67.166.140.47,100,175,1,7/7/21 0:18,R_30vJy6UVZjm4Sl8,,,,,38.58790588,-121.405304,anonymous,EN,2,2,,,,,,,,,,,,,,,5,90,60,65,10,50,30,0,0,10,40,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,40,4,,None.,FL_9,,,,intentional_driver|blame_robodrive|blame_robocar|blame_noah,intentional_driver|anger_robodrive|punish_robodrive|moral_bad_robodrive,intentional_driver|nonlike_robodrive|donate_robodrive|volunteer_robodrive|protest_robodrive|soc_media_robodrive|likeminded_robodrive,,,,,,
7/7/21 0:15,7/7/21 0:18,0,69.117.238.16,100,178,1,7/7/21 0:18,R_1f9nMejznsNVsUi,,,,,40.81080627,-73.36669922,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,92,90,91,90,100,19,80,75,89,88,49,2,1,1,,3,,39,5,,,FL_11,,,,,,,,,,random_driver|blame_noah|blame_robodrive|blame_robocar,random_driver|punish_robodrive|anger_robodrive|moral_bad_robodrive,random_driver|nonlike_robodrive|protest_robodrive|likeminded_robodrive|soc_media_robodrive|volunteer_robodrive|donate_robodrive
7/7/21 0:17,7/7/21 0:19,0,98.127.137.72,100,115,1,7/7/21 0:19,R_3DvhWxtc9JyMa3O,,,,,46.6098938,-112.0243988,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,100,100,100,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,1,,1,,49,2,,,FL_10,,,,,,,random_pedestri|blame_robodrive|blame_noah|blame_robocar,random_pedestri|anger_robodrive|punish_robodrive|moral_bad_robodrive,random_pedestri|soc_media_robodrive|volunteer_robodrive|likeminded_robodrive|nonlike_robodrive|protest_robodrive|donate_robodrive,,,
7/7/21 0:17,7/7/21 0:19,0,71.194.212.51,100,102,1,7/7/21 0:19,R_3ER6rIu1UcbaayZ,,,,,41.52709961,-87.25330353,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,74,75,68,74,74,31,21,13,36,40,8,2,2,,,,,,,,,,,,,,,1,,1,,37,2,,Thanks,FL_10,,,,,,,random_pedestri|blame_robodrive|blame_noah|blame_robocar,random_pedestri|punish_robodrive|anger_robodrive|moral_bad_robodrive,random_pedestri|donate_robodrive|volunteer_robodrive|protest_robodrive|soc_media_robodrive|nonlike_robodrive|likeminded_robodrive,,,
7/7/21 0:17,7/7/21 0:19,0,138.207.140.61,100,150,1,7/7/21 0:19,R_xa1Cf2xviboLZ3r,,,,,39.89500427,-79.92440033,anonymous,EN,2,2,20,82,83,60,9,9,50,49,51,80,81,80,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,55,4,,No,FL_8,intentional_pedestri|blame_noah|blame_robodrive|blame_robocar,intentional_pedestri|moral_bad_robodrive|punish_robodrive|anger_robodrive,intentional_pedestri|soc_media_robodrive|volunteer_robodrive|donate_robodrive|protest_robodrive|nonlike_robodrive|likeminded_robodrive,,,,,,,,,
