title,link,source,date
"The Samsung Exynos platform for Tesla self-driving cars is to upgrade to 
5nm: new report",https://www.notebookcheck.net/The-Samsung-Exynos-platform-for-Tesla-self-driving-cars-is-to-upgrade-to-5nm-new-report.516984.0.html,Notebookcheck,"Jan 26, 2021"
"Tesla's new 'Full Self-Driving' 10.3 update has an Assertive mode that 
mimics a more aggressive driver",https://www.notebookcheck.net/Tesla-s-new-Full-Self-Driving-10-3-update-has-an-Assertive-mode-that-mimics-a-more-aggressive-driver.591582.0.html,Notebookcheck,"Jan 10, 2022"
"Tesla's 'Full Self-Driving' mode finally lands for regular owners in a 
watershed moment for autonomous cars",https://www.notebookcheck.net/Tesla-s-Full-Self-Driving-mode-finally-lands-for-regular-owners-in-a-watershed-moment-for-autonomous-cars.571523.0.html,Notebookcheck,"Oct 12, 2021"
Tesla's 'Aggressive' Autonomous Mode Facilitates Lawbreaking,https://www.planetizen.com/news/2022/01/115902-teslas-aggressive-autonomous-mode-facilitates-lawbreaking,Planetizen,"Jan 19, 2022"
Hear Grimes’ Assertive New Song ‘We Appreciate Power’,https://www.rollingstone.com/music/music-news/grimes-we-appreciate-power-new-song-761222/,Rolling Stone,"Nov 29, 2018"
Why Tesla Can Program Its Cars to Break Road Safety Laws,https://usa.streetsblog.org/2022/01/12/why-tesla-can-program-its-cars-to-break-road-safety-laws,Streetsblog USA,"Jan 12, 2022"
"Tesla ‘Full Self-Driving’ beta features an ‘Assertive’ mode with rolling 
stops",https://techcrunch.com/2022/01/10/tesla-full-self-driving-beta-features-an-assertive-mode-with-rolling-stops/,TechCrunch,"Jan 10, 2022"
What to expect from Tesla’s long-awaited FSD version 11,https://techcrunch.com/2023/02/21/what-to-expect-from-teslas-long-awaited-fsd-version-11/,TechCrunch,"Feb 21, 2023"
"Tesla recalls Full Self Driving feature that lets cars roll through stop 
signs",https://techcrunch.com/2022/02/01/tesla-recalls-full-self-driving-feature-that-lets-cars-roll-through-stop-signs/,TechCrunch,"Feb 1, 2022"
"NHTSA issues a safety recall on nearly 54,000 Teslas over 'rolling-stop' 
functionality",https://www.techspot.com/news/93223-nhtsa-issues-safety-recall-nearly-54000-teslas-over.html,TechSpot,"Feb 1, 2022"
Tesla FSD Beta 12.1.2 Debuts ‘Automatic Set Speed Offset’ [VIDEO],https://teslanorth.com/2024/01/23/tesla-fsd-beta-12-1-2-automatic-set-speed/,Tesla North,"Jan 23, 2024"
"Tesla FSD (Supervised) v12.3.3 goes wide release, triggers debate if it's 
impressive or whacky (video reviews)",https://www.teslaoracle.com/2024/04/06/tesla-fsd-beta-v12-3-3-wide-release-impressive-or-whacky-video-reviews/,Tesla Oracle,"Apr 6, 2024"
"Tesla (TSLA) rolls out Autopilot FSD Beta 12 to limited non-employee owners 
for extra cautious testing (video)",https://www.teslaoracle.com/2024/01/23/tesla-tsla-rolls-out-autopilot-fsd-beta-12-to-limited-non-employee-owners-for-extra-cautious-testing-video/,Tesla Oracle,"Jan 23, 2024"
"Tesla delays rollout of FSD v12.4, alleged test video goes private on 
YouTube, Musk announces new FSD drive modes",https://www.teslaoracle.com/2024/06/04/tesla-delays-rollout-of-fsd-v12-4-alleged-test-video-private-youtube-elon-musk-chill-hurry/,Tesla Oracle,1 month ago
"Tesla to allow FSD transfers for ‘one more quarter,’ says Musk",https://www.teslarati.com/tesla-fsd-transfers-quarter-musk/,Teslarati,1 month ago
"Tesla’s Navigate on Autopilot with unconfirmed lane changes gets torture 
tested in LA traffic",https://www.teslarati.com/tesla-navigate-on-autopilot-unconfirmed-lane-changes-torture-test-la-traffic/,Teslarati,"Apr 11, 2019"
"Morgan Stanley posts optimistic Tesla FSD expectations after V12.3.6 
experience",https://www.teslarati.com/morgan-stanley-tesla-fsd-expectations-v12-3-6-experience/,Teslarati,"May 6, 2024"
Tesla Autopilot ‘Mad Max’ mode gets torture tested in LA traffic,https://www.teslarati.com/tesla-navigate-on-autopilot-mad-max-mode-torture-test-la-traffic/,Teslarati,"Nov 9, 2018"
Tesla adds new feature with FSD Beta v12 for more natural speed behavior,https://www.teslarati.com/tesla-automatic-set-speed-offset-fsd-beta-v12/,Teslarati,"Jan 23, 2024"
Tesla owners report FSD (Supervised) V12.3.6 initial rollout,https://www.teslarati.com/tesla-fsd-supervised-v12-3-6-initial-rollout-video/,Teslarati,"Apr 28, 2024"
Tesla’s Full Self-Driving to get new driving modes: Musk,https://www.teslarati.com/elon-musk-tesla-fsd-supervised-modes/,Teslarati,1 month ago
We took a ‘self-driving’ Tesla for a spin in Boston. Here’s how it did.,https://www.bostonglobe.com/2022/02/03/business/we-took-self-driving-tesla-spin-boston-heres-how-it-did/,The Boston Globe,"Feb 3, 2022"
"Tesla Recalls 54,000 Cars With FSD Beta for Rolling Through Stop Signs",https://www.thedrive.com/news/44104/tesla-recalls-54000-cars-with-fsd-beta-for-rolling-through-stop-signs,The Drive,"Feb 2, 2022"
"Tesla to disable ‘rolling stop’ feature after NHTSA says it can ‘increase 
the risk of a crash’",https://www.theverge.com/2022/2/1/22912099/tesla-rolling-stop-disable-recall-nhtsa-update,The Verge,"Feb 1, 2022"
"Tesla’s ‘Full Self-Driving’ beta has an ‘assertive’ driving mode that ‘may 
perform rolling stops’",https://www.theverge.com/2022/1/9/22875382/tesla-full-self-driving-beta-assertive-profile,The Verge,"Jan 9, 2022"
Tesla Has 'Assertive' Self-Driving Mode,https://www.treehugger.com/tesla-assertive-self-driving-mode-5216150,Treehugger,"Jan 17, 2022"
Tesla Now Offers a Self-Driving Option That Lets Your Car Drive Like a Jerk,https://www.iheart.com/content/2022-01-11-tesla-now-offers-a-self-driving-option-that-lets-your-car-drive-like-a-jerk/,iHeart,"Jan 11, 2022"
"Tesla Full Self-Driving to be ""safer than a human"" in 2022, Elon Musk claims",https://www.drive.com.au/news/tesla-full-self-driving-safer-than-a-human-elon-musk-claims/,www.drive.com.au,"Jan 27, 2022"
